Exchange,Ticker,Name,
JKSE,AALI,PT Astra Agro Lestari Tbk,
JKSE,ASII,Astra International tbk PT,
JKSE,BBCA,PT Bank Central Asia Tbk,
JKSE,BBNI,PT Bank Negara Indonesia (Persero) Tbk.,
JKSE,BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,
JKSE,BDMN,PT Bank Danamon Indonesia, Tbk.,
JKSE,BMRI,PT Bank Mandiri (Persero) Tbk,
JKSE,BSDE,PT Bumi Serpong Damai Tbk,
JKSE,CPIN,PT Charoen Pokphand Indonesia Tbk,
JKSE,EMTK,PT Elang Mahkota Teknologi Tbk,
JKSE,EXCL,PT XL Axiata Tbk,
JKSE,GGRM,PT Gudang Garam Tbk,
JKSE,HMSP,Hanjaya Mandala Sampoerna tbk PT,
JKSE,ICBP,PT Indofood CBP Sukses Makmur Tbk,
JKSE,INCO,PT Vale Indonesia Tbk,
JKSE,INDF,PT Indofood Sukses Makmur Tbk,
JKSE,INTP,Indocement Tunggal Prakarsa tbk PT,
JKSE,JSMR,Pt Jasa Marga (Persero) Tbk,
JKSE,KLBF,PT Kalbe Farma Tbk,
JKSE,LPPF,PT Matahari Department Store Tbk,
JKSE,MIKA,PT Mitra Keluarga Karyasehat TBK,
JKSE,MNCN,PT Media Nusantara Citra Tbk,
JKSE,PGAS,PT Perusahaan Gas Negara (Persero) TBK,
JKSE,SCMA,PT Surya Citra Media Tbk,
JKSE,SMGR,PT Semen Indonesia (Persero) Tbk,
JKSE,TBIG,PT Tower Bersama Infrastructure Tbk,
JKSE,TLKM,PT Telekomunikasi Indonesia Tbk,
JKSE,TOWR,PT Sarana Menara Nusantara Tbk,
JKSE,UNTR,PT United Tractors Tbk,
JKSE,UNVR,PT Unilever Indonesia Tbk,
KLSE,AEON,Aeon Co. (M) Bhd,
KLSE,AFFIN,Affin Holdings Bhd,
KLSE,AFG,Alliance Financial Group Berhad,
KLSE,AIRASIA,AirAsia Berhad,
KLSE,AIRPORT,Malaysia Airports Holdings Bhd,
KLSE,AMBANK,AMMB Holdings Berhad,
KLSE,ARMADA,Bumi Armada Berhad,
KLSE,ASTRO,Astro Malaysia Holdings Berhad,
KLSE,AXIATA,Axiata Group Berhad,
KLSE,BAT,British American Tobacco Malaysia Bhd,
KLSE,BIMB,BIMB Holdings Berhad,
KLSE,BJTOTO,Berjaya Sports Toto Berhad,
KLSE,BKAWAN,Batu Kawan Berhad,
KLSE,BSTEAD,Boustead Holdings Bhd,
KLSE,BURSA,Bursa Malaysia Berhad,
KLSE,CIMB,CIMB Group Holdings Berhad,
KLSE,CMSB,Cahya Mata Sarawak Bhd,
KLSE,DIALOG,Dialog Group Berhad,
KLSE,DIGI,DiGi.Com Berhad,
KLSE,F&N,Fraser & Neave Holdings Bhd,
KLSE,FGV,Felda Global Ventures Holdings Berhad,
KLSE,GAB,Guinness Anchor Berhad,
KLSE,GAMUDA,Gamuda Bhd,
KLSE,GENM,Genting Malaysia Berhad,
KLSE,GENP,Genting Plantations Berhad,
KLSE,GENTING,Genting Berhad,
KLSE,HAPSENG,Hap Seng Consolidated Berhad,
KLSE,HARTA,Hartalega Holdings Berhad,
KLSE,HLBANK,Hong Leong Bank Berhad,
KLSE,HLFG,Hong Leong Financial Group Berhad,
KLSE,IGBREIT,IGB Real Estate Investment Trust,
KLSE,IHH,IHH Healthcare Berhad,
KLSE,IJM,IJM Corporation Berhad,
KLSE,IOICORP,IOI Corp.Bhd,
KLSE,IOIPG,IOI Properties Group Berhad,
KLSE,KLCC,KLCC Real Estate Investment Trust,
