tickerSymbol,exchangeSymbol,WMSIApi,,period,date,ISOCode
"1101","TSEC","ebit","2126.504910000","FQ12016",,"TWD"
"1101","TSEC","ebit","3469.949820000","FQ42015",,"TWD"
"1101","TSEC","ebt","4320.489560000","FQ32016",,"TWD"
"1101","TSEC","netIncome","2493.976960000","FQ32016",,"TWD"
"1101","TSEC","netIncomeExcl","2004.581550000","FQ32015",,"TWD"
"1101","TSEC","netIncomeExcl","7268.513690000","FY2015",,"TWD"
"1101","TSEC","netIncomeExcl","9497.668080000","FY2017",,"TWD"
"1101","TSEC","normalizedEPS","0.556640000","FQ22016",,"TWD"
"1101","TSEC","normalizedEPS","2.271100000","FY2016",,"TWD"
"1101","TSEC","revenue","28080.502660000","FQ42015",,"TWD"
"1101","TSEC","tpLowEstimate","30.000000000",,,"TWD"
"1102","TSEC","ebit","4520.330000000","FY2015",,"TWD"
"1102","TSEC","eps","2.422580000","FY2017",,"TWD"
"1102","TSEC","normalizedEPS","2.418840000","FY2017",,"TWD"
"1216","TSEC","ebit","6628.922810000","FQ22016",,"TWD"
"1216","TSEC","ebt","4879.971680000","FQ42015",,"TWD"
"1216","TSEC","eps","0.792600000","FQ22016",,"TWD"
"1216","TSEC","ltgHighEstimate","19.100000000",,,
"1216","TSEC","netIncomeExcl","18442.440420000","FY2017",,"TWD"
"1216","TSEC","revenue","484713.226580000","FY2017",,"TWD"
"1301","TSEC","ebt","7122.666670000","FQ42015",,"TWD"
"1301","TSEC","ebt","9675.666670000","FQ32015",,"TWD"
"1301","TSEC","eps","4.836160000","FY2017",,"TWD"
"1301","TSEC","netIncome","27644.148770000","FY2015",,"TWD"
"1301","TSEC","normalizedEPS","4.323010000","FY2015",,"TWD"
"1301","TSEC","tpLowEstimate","60.000000000",,,"TWD"
"1303","TSEC","ebit","3665.000000000","FQ32015",,"TWD"
"1303","TSEC","ebt","41917.574950000","FY2016",,"TWD"
"1303","TSEC","netIncome","35742.487680000","FY2015",,"TWD"
