Company Name,Stock Code:Market,ISIN Code,HP Short Name
ACMA LTD.,A01:SGX,SG1A01000524,Acma
BRITISH & MALAYAN TRUSTEES LTD,B08:SGX,SG2L10002467,B&M Trustees 100
BONVESTS HOLDINGS LTD,B28:SGX,SG2R04002568,Bonvests
CHEMICAL INDUSTRIES (F.E.) LTD,C05:SGX,SG1B37000984,Chemical Ind
AURIC PACIFIC GROUP LIMITED,A23:SGX,SG1B49001004,Auric Pacific
JARDINE CYCLE & CARRIAGE LTD,C07:SGX,SG1B51001017,Jardine C&C
CITY DEVELOPMENTS LIMITED,C09:SGX,SG1R89002252,CityDev
DBS GROUP HOLDINGS LTD,D05:SGX,SG1L01001701,DBS
LCD GLOBAL INVESTMENTS LTD.,L38:SGX,SG1C01001033,LCD Global Inv
GUOCOLAND LIMITED,F17:SGX,SG1R95002270,GuocoLand
HAW PAR CORP LTD,H02:SGX,SG1D25001158,Haw Par
HOTEL ROYAL LTD,H12:SGX,SG1P12002132,Hotel Royal
HOTEL PROPERTIES LTD,H15:SGX,SG2P14002527,HPL
CHINA MERCHANTS HLDGS(PACIFIC),C22:SGX,SG2P22002535,CMPacific
INTRACO LIMITED,I06:SGX,SG1D87001195,Intraco
ISETAN (SINGAPORE) LTD,I15:SGX,SG1D89001201,Isetan
KHONG GUAN FLOUR MILLING LTD,K03:SGX,SG1E13001268,Khong Guan Flour
INNOPAC HOLDINGS LIMITED,I26:SGX,SG2D65002396,InnoPac
HL GLOBAL ENTERPRISES LIMITED,L18:SGX,SG1E19001288,HL Global Ent^
LUM CHANG HOLDINGS LIMITED,L19:SGX,SG1E20001293,Lum Chang
MURATA MFG CO. LTD 100,M20:SGX,JP3914400001,Murata 100 Yen1k
FAR EAST ORCHARD LIMITED,O10:SGX,SG2P56002559,Far East Orchard
WHEELOCK PROPERTIES (S) LTD,M35:SGX,SG1N72002107,Wheelock Prop
NSL LTD.,N02:SGX,SG1F87001375,NSL
NEPTUNE ORIENT LINES LIMITED,N03:SGX,SG1F90001388,NOL
QAF LTD,Q01:SGX,SG1A49000759,QAF
SP CORPORATION LIMITED,S13:SGX,SG2G92002424,SP Corp
KEPPEL LAND LIMITED,K17:SGX,SG1R31002210,Keppel Land
STRAITS TRADING CO. LTD,S20:SGX,SG1J49001550,Straits Trading
SINGAPURA FINANCE LTD,S23:SGX,SG1M01001924,Spura Finance
SINGAPORE LAND LIMITED,S30:SGX,SG1S69002321,Singapore Land
SING INVESTMENTS & FINANCE LTD,S35:SGX,SG1S02002305,Sing Inv & Fin
HONG LEONG FINANCE LIMITED,S41:SGX,SG1M04001939,Hong Leong Fin
ENGRO CORPORATION LIMITED,S44:SGX,SG1H26001476,EnGro
TUAN SING HOLDINGS LIMITED,T24:SGX,SG2D13002373,Tuan Sing
UNITED ENGINEERS LTD ORD,U04:SGX,SG1K25001639,United Engineers
UNITED INDUSTRIAL CORP LTD,U06:SGX,SG1K37001643,UIC
UPP HOLDINGS LIMITED,U09:SGX,SG1K55001665,UPP
UNITED OVERSEAS BANK LTD,U11:SGX,SG1M31001969,UOB
UNITED OVERSEAS INSURANCE LTD,U13:SGX,SG1M91002014,UOI
UOL GROUP LIMITED,U14:SGX,SG1S83002349,UOL
3CNERGY LIMITED,502:CATALIST,SG0502000029,3Cnergy 500
GRAND BANKS YACHTS LIMITED,G50:SGX,SG0504000043,Grand Banks^
ASIAMEDIC LIMITED,505:CATALIST,SG0505000059,AsiaMedic
