name,tickerSymbol,exchangeSymbol,isin,short_name,TradingItemId,companyId,currencyId,currencyISO
"BRITISH & MALAYAN TRUSTEES LTD","B08","SGX","SG2L10002467","B&M Trustees",20207298,881646,138,"SGD"
"BONVESTS HOLDINGS LTD","B28","SGX","SG2R04002568","Bonvests",20168005,878667,138,"SGD"
"CHEMICAL INDUSTRIES (F.E.) LTD","C05","SGX","SG1B37000984","Chemical Ind",20158344,7687751,138,"SGD"
"AURIC PACIFIC GROUP LIMITED","A23","SGX","SG1B49001004","Auric Pacific",20215983,7687519,138,"SGD"
"JARDINE CYCLE & CARRIAGE LTD","C07","SGX","SG1B51001017","Jardine C&C",20241886,874084,138,"SGD"
"CITY DEVELOPMENTS LIMITED","C09","SGX","SG1R89002252","CityDev",20158637,410611,138,"SGD"
"DBS GROUP HOLDINGS LTD","D05","SGX","SG1L01001701","DBS",20215608,874047,138,"SGD"
"LCD GLOBAL INVESTMENTS LTD.","L38","SGX","SG1C01001033","LCD Global Inv",20188133,878463,138,"SGD"
"GUOCOLAND LIMITED","F17","SGX","SG1R95002270","GuocoLand",20195297,28526,138,"SGD"
"HAW PAR CORP LTD","H02","SGX","SG1D25001158","Haw Par",20242275,874348,138,"SGD"
"HOTEL ROYAL LTD","H12","SGX","SG1P12002132","Hotel Royal",20218731,4484828,138,"SGD"
"HOTEL PROPERTIES LTD","H15","SGX","SG2P14002527","HPL",20218734,878746,138,"SGD"
"CHINA MERCHANTS HLDGS(PACIFIC)","C22","SGX","SG2P22002535","CMPacific",20218730,878858,138,"SGD"
"INTRACO LIMITED","I06","SGX","SG1D87001195","Intraco",20165056,874368,138,"SGD"
"ISETAN (SINGAPORE) LTD","I15","SGX","SG1D89001201","Isetan",20165079,876971,138,"SGD"
"KHONG GUAN FLOUR MILLING LTD","K03","SGX","SG1E13001268","Khong Guan Flour",20188604,9875955,138,"SGD"
"INNOPAC HOLDINGS LIMITED","I26","SGX","SG2D65002396","InnoPac",20188595,1789535,138,"SGD"
"LUM CHANG HOLDINGS LIMITED","L19","SGX","SG1E20001293","Lum Chang",20219953,875867,138,"SGD"
"MURATA MFG CO. LTD 100","M20","SGX","JP3914400001","Murata Yen1k",20242693,874485,79,"JPY"
"FAR EAST ORCHARD LIMITED","O10","SGX","SG2P56002559","Far East Orchard",20242794,2459793,138,"SGD"
"WHEELOCK PROPERTIES (S) LTD","M35","SGX","SG1N72002107","Wheelock Prop",20194276,877248,138,"SGD"
"NSL LTD.","N02","SGX","SG1F87001375","NSL",20120862,874185,138,"SGD"
"NEPTUNE ORIENT LINES LIMITED","N03","SGX","SG1F90001388","NOL",20120990,649038,138,"SGD"
"QAF LTD","Q01","SGX","SG1A49000759","QAF",20212271,878167,138,"SGD"
"STRAITS TRADING CO. LTD","S20","SGX","SG1J49001550","Straits Trading",20218087,874646,138,"SGD"
"SINGAPURA FINANCE LTD","S23","SGX","SG1M01001924","Spura Finance",20197645,874704,138,"SGD"
"SING INVESTMENTS & FINANCE LTD","S35","SGX","SG1S02002305","Sing Inv & Fin",20197651,7654953,138,"SGD"
"HONG LEONG FINANCE LIMITED","S41","SGX","SG1M04001939","Hong Leong Fin",20197649,878777,138,"SGD"
"ENGRO CORPORATION LIMITED","S44","SGX","SG1H26001476","EnGro",20217981,23085,138,"SGD"
"TUAN SING HOLDINGS LIMITED","T24","SGX","SG2D13002373","Tuan Sing",20218934,4480943,138,"SGD"
"UNITED ENGINEERS LTD ORD","U04","SGX","SG1K25001639","United Engineers",20178140,5542461,138,"SGD"
"UNITED INDUSTRIAL CORP LTD","U06","SGX","SG1K37001643","UIC",20178175,5538185,138,"SGD"
"UPP HOLDINGS LIMITED","U09","SGX","SG1K55001665","UPP",20178191,4481258,138,"SGD"
"UNITED OVERSEAS BANK LTD","U11","SGX","SG1M31001969","UOB",20178182,413891,138,"SGD"
"UNITED OVERSEAS INSURANCE LTD","U13","SGX","SG1M91002014","UOI",20178186,7655812,138,"SGD"
"UOL GROUP LIMITED","U14","SGX","SG1S83002349","UOL",20178183,874568,138,"SGD"
"3CNERGY LIMITED","502","CATALIST","SG0502000029","3Cnergy",119124495,79611391,138,"SGD"
"GRAND BANKS YACHTS LIMITED","G50","SGX","SG0504000043","Grand Banks",20211235,875806,138,"SGD"
"ASIAMEDIC LIMITED","505","CATALIST","SG0505000059","AsiaMedic",20179026,7658303,138,"SGD"
