tickerSymbol,exchangeSymbol,name,shares,percent
"S44","SGX","Afro-Asia International Enterprises Pte. Limited",44463000,"37.46351"
"S44","SGX","Afro Asia Shipping Co Pte Ltd",15674500,"13.20697"
"S44","SGX","Wee Chua",5535100,"4.66375"
"S44","SGX","Morph Investments Ltd.",1596500,"1.34517"
"S44","SGX","Soo Giap Ng",1465000,"1.23438"
"2357","TSEC","Colonial First State Asset Management (Australia) Limited",31264000,"4.20916"
"2357","TSEC","First State Investments ICVC - First State Asia Pacific Leaders Fund",31264000,"4.20916"
"2357","TSEC","Jonney Shih",30093638,"4.05159"
"2357","TSEC","Unlimited Growth International Limited",20869542,"2.80973"
"2357","TSEC","BlackRock, Inc.",19585828,"2.63690"
"C76","SGX","Wong Hoo Sim",23270652,"33.08703"
"C76","SGX","Kai Wa Ng",2348555,"3.33926"
"C76","SGX","Dimensional Fund Advisors LP",1112350,"1.58158"
"C76","SGX","Pornchada Vanich",856000,"1.21709"
"C76","SGX","Keh Long Ng",845000,"1.20145"
"F17","SGX","GuocoLand Assets Pte. Ltd.",804493744,"72.49204"
"F12","SGX","GuocoLand Assets Pte. Ltd.",804493744,"72.49204"
"F17","SGX","Fairbury Pte. Ltd.",73604933,"6.63246"
"F12","SGX","Fairbury Pte. Ltd.",73604933,"6.63246"
"F17","SGX","Leng Hai Kwek",35290914,"3.18003"
"F12","SGX","Leng Hai Kwek",35290914,"3.18003"
"F17","SGX","Leng Chan Quek",26750619,"2.41047"
"F12","SGX","Leng Chan Quek",26750619,"2.41047"
"F17","SGX","AMMB Holdings Bhd, Asset Management Arm",19596323,"1.76580"
"F12","SGX","AMMB Holdings Bhd, Asset Management Arm",19596323,"1.76580"
"584","CATALIST","Phillip Capital Management (S) Ltd.",197350000,"29.53162"
"584","CATALIST","OCBC Securities Private Limited, Securities Arm",47727800,"7.14203"
"584","CATALIST","Beng Tin Low",32769754,"4.90369"
"584","CATALIST","Maybank Kim Eng Securities Pte. Ltd., Brokerage and Securities Investments",22052777,"3.30000"
"584","CATALIST","Yong Fah Shie",10100000,"1.51137"
"V03","SGX","BNP Paribas Securities Corp, Asset Management Arm",34970707,"12.66290"
"V03","SGX","Aberdeen Asset Management PLC",24690930,"8.94059"
"V03","SGX","Sprucegrove Investment Management Ltd",19298302,"6.98792"
"V03","SGX","Ngit Liong Wong",19166619,"6.94024"
"V03","SGX","Aberdeen Global - Asian Smaller Companies Fund",10142000,"3.67242"
"544","SGX","Chartered Asset Management Pte. Ltd.",101197000,"19.60924"
"544","SGX","Mok Koon Tan",67201250,"13.02179"
"544","SGX","Fidelity Puritan Trust - Fidelity Low-Priced Stock Fund",45206800,"8.75986"
"544","SGX","CAM-GTF Limited",43743000,"8.47621"
"544","SGX","FIL Limited",28354750,"5.49438"
"544","SGX","Fidelity Investments",28354750,"5.49438"
"BAI","SGX","S Global Innovation Centre Pte. Ltd.",3638921,"26.53735"
"BAI","SGX","LEE PINEAPPLE CO., (PTE.) LTD.",1775550,"12.94845"
"BAI","SGX","Bhupendra Modi",665730,"4.85493"
"BAI","SGX","Phillip Capital Management (S) Ltd.",431506,"3.14682"
"BAI","SGX","OCBC Securities Private Limited, Securities Arm",246322,"1.79634"
"Z74","SGX","Temasek Holdings (Private) Limited",8178343486,"51.29554"
"Z74","SGX","Central Provident Fund Board",883720160,"5.54280"
"Z74","SGX","Capital Research and Management Company",637951210,"4.00131"
"Z74","SGX","Capital Income Builder",465131500,"2.91736"
"Z74","SGX","BNP Paribas, Private & Investment Banking Investments",234572384,"1.47127"
"M1P","SGX","Standard Chartered Private Equity Limited",162566673,"29.65019"
"M1P","SGX","CVC Capital Partners Limited",153566673,"28.00869"
"M1P","SGX","CVC Capital Partners Asia Pacific II, L.P.",153566673,"28.00869"
"M1P","SGX","Colonial First State Asset Management (Australia) Limited",32938800,"6.00764"
"M1P","SGX","Bou Wai Yeong",26510717,"4.83523"
"S7OU","SGX","Temasek Holdings (Private) Limited",114605812,"7.97646"
"S7OU","SGX","Neuberger Berman LLC",71129302,"4.95054"
"S7OU","SGX","PPM America, Inc",67095000,"4.66975"
"S7OU","SGX","CI Investments Inc.",53666691,"3.73515"
"S7OU","SGX","Macquarie Capital Group Limited",43103999,"3.00000"
"H22","SGX","Hong Leong Investment Holdings Pte. Ltd.",233000000,"62.31470"
"H22","SGX","Taiheiyo Cement Corp.",9079659,"2.42831"
"H22","SGX","Starich Investments Pte Ltd",6664000,"1.78225"
"H22","SGX","Government Pension Fund Global",3464584,"0.92659"
"H22","SGX","Norges Bank Investment Management",3464584,"0.92659"
"2330","TSEC","National Development Fund, Executive Yuan",1653709980,"6.37750"
"2330","TSEC","BlackRock, Inc.",1330873332,"5.13249"
"2330","TSEC","Saudi Arabian Monetary Agency",804188035,"3.10134"
"2330","TSEC","GIC Pte. Ltd.",594775575,"2.29374"
"2330","TSEC","Aberdeen Asset Management PLC",555667415,"2.14292"
"TLKM","JKSE","Republic of Indonesia",51602353560,"52.56115"
"TLKM","JKSE","Lazard Asset Management LLC",4169978376,"4.24746"
"TLKM","JKSE","Matthews International Capital Management, LLC",1654971300,"1.68572"
"TLKM","JKSE","The Vanguard Group, Inc.",1544418196,"1.57311"
"TLKM","JKSE","Vontobel Asset Management, Inc.",1536179890,"1.56472"
"J37","SGX","Jardine Matheson Holdings Limited",407388393,"68.37482"
"J37","SGX","OppenheimerFunds, Inc.",12650049,"2.12315"
"J37","SGX","Oppenheimer Developing Markets Fund",11800443,"1.98055"
"J37","SGX","Franklin Resources, Inc.",10926749,"1.83391"
"J37","SGX","Aberdeen Global - Asia Pacific Equity Fund",10655539,"1.78839"
"M04","SGX","Jardine Strategic Holdings Limited",737275281,"58.70367"
"M04","SGX","Neptune Investment Management Limited",50144800,"3.99265"
"M04","SGX","Neptune Balanced Fund",24000000,"1.91094"
"M04","SGX","Schroder Investment Management (Hong Kong) Limited",16417150,"1.30717"
"M04","SGX","GAMCO Investors, Inc.",14943375,"1.18983"
"ADVANC","SET","Intouch Holdings Public Company Limited",1202712000,"40.45319"
"ADVANC","SET","Singtel Strategic Investments Pte Ltd.",693359000,"23.32112"
"ADVANC","SET","State Street Global Advisors, Inc.",53203047,"1.78948"
"ADVANC","SET","Capital Research and Management Company",52483800,"1.76529"
"ADVANC","SET","BNY Mellon Asset Management",40005200,"1.34557"
"S24","SGX","Jiangsu Changjiang Electronics Technology Co., Ltd.",2144087327,"97.36034"
"S24","SGX","Morph Investments Ltd.",11650000,"0.52901"
"S24","SGX","DBS Group Holdings Limited, Asset Management Arm",7121000,"0.32336"
"S24","SGX","CIMB-Principal Asset Management Bhd",6833168,"0.31029"
"S24","SGX","Zu Liang Lu",6028000,"0.27372"
"H78","SGX","Jardine Strategic Holdings Limited",1176616646,"50.00906"
"H78","SGX","Schroder Investment Management (Singapore) Ltd",30633023,"1.30198"
"H78","SGX","Government Pension Fund Global",29319897,"1.24617"
"H78","SGX","Norges Bank Investment Management",29319897,"1.24617"
"H78","SGX","The Vanguard Group, Inc.",22630731,"0.96186"
"C09","SGX","Hong Leong Investment Holdings Pte. Ltd.",445163893,"48.95670"
"C09","SGX","Aberdeen Asset Management PLC",271310321,"29.83723"
"C09","SGX","BNP Paribas, Private & Investment Banking Investments",69635205,"7.65810"
"C09","SGX","Aberdeen Global - Asia Pacific Equity Fund",30015779,"3.30097"
"C09","SGX","Euroform (S) Pte. Limited",19603045,"2.15584"
"U11","SGX","Cho Yaw Wee",130434358,"8.14051"
"U11","SGX","Wee Investments Pte Ltd",124279683,"7.75639"
"U11","SGX","Wah Hin & Co Pte Ltd",81233515,"5.06985"
"U11","SGX","Tai Tak Estates Sendirian Berhad",67450000,"4.20961"
"U11","SGX","BNP Paribas Securities Corp, Asset Management Arm",37742894,"2.35556"
"N0L","SGX","Teck Leong Teo",98336800,"8.21975"
"N0L","SGX","Chin Kwee Low",94800000,"7.92411"
"N0L","SGX","Eng Hwee  Teo ",77000000,"6.43625"
"N0L","SGX","Eng Shing Teo",77000000,"6.43625"
"N0L","SGX","Ong Tze King",59830320,"5.00108"
"S69","SGX","Bak Goh",355132070,"39.63528"
"S69","SGX","Seng Hui Goi",98741038,"11.02021"
"S69","SGX","Tiong Yong Goh",28200000,"3.14732"
