Company Name	API ID
3CNERGY LIMITED	502:CATALIST
800 SUPER HOLDINGS LIMITED	5TG:CATALIST
8TELECOM INTL HOLDINGS CO LTD	E25:SGX
AA GROUP HOLDINGS LTD.	5GZ:CATALIST
AAT CORPORATION LIMITED	TF7:SGX
ABR HOLDINGS LIMITED	533:SGX
ABTERRA LTD	L5I:SGX
ACE ACHIEVE INFOCOM LIMITED	A75:SGX
ACHIEVA LIMITED	A02:SGX
ACMA LTD.	A01:SGX
ACTION ASIA LIMITED	A59:SGX
ADDVALUE TECHNOLOGIES LTD	A31:SGX
ADV INTEGRATED MFG CORP LTD	A54:SGX
ADVANCE SCT LIMITED	5FH:SGX
ADVANCED HOLDINGS LTD.	5IA:SGX
ADVANCED SYSTEMS AUTOMATION	5TY:CATALIST
ADVENTUS HOLDINGS LIMITED	5EF:CATALIST
AEI CORPORATION LTD	A18:SGX
AEM HOLDINGS LTD	A10:SGX
AIMS AMP CAP INDUSTRIAL REIT	O5RU:SGX
AIMS PROPERTY SECURITIES FUND	A0P:SGX
ALBEDO LIMITED	5IB:CATALIST
ALLIED TECHNOLOGIES LIMITED	A13:SGX
AMARA HOLDINGS LTD	A34:SGX
AMPLEFIELD LIMITED	C60:SGX
AMTEK ENGINEERING LTD	M1P:SGX
ANCHUN INTERNATIONAL HLDGS LTD	MF5:SGX
ANNAIK LIMITED	A52:SGX
ANNICA HOLDINGS LIMITED	5AL:CATALIST
ANWELL TECHNOLOGIES LIMITED	G5X:SGX
AP OIL INTERNATIONAL LIMITED	5AU:SGX
ARA ASSET MANAGEMENT LIMITED	D1R:SGX
ARMARDA GROUP LIMITED	5EK:CATALIST
ARTIVISION TECHNOLOGIES LTD.	5NK:CATALIST
ASCENDAS HOSPITALITY TRUST	Q1P:SGX
ASCENDAS INDIA TRUST	CY6U:SGX
ASCENDAS REAL ESTATE INV TRUST	A17U:SGX
ASCOTT RESIDENCE TRUST	A68U:SGX
ASIA ENTERPRISES HOLDING LTD	A55:SGX
ASIA FASHION HOLDINGS LIMITED	GH3:SGX
ASIA POWER CORP LTD	A03:SGX
ASIAMEDIC LIMITED	505:CATALIST
ASIAN MICRO HOLDINGS LTD	585:CATALIST
ASIAN PAY TELEVISION TRUST	S7OU:SGX
ASIA-PACIFIC STRATEGIC INV LTD	5RA:CATALIST
ASIAPHOS LIMITED	5WV:CATALIST
ASIASONS CAPITAL LIMITED	5ET:SGX
ASIATIC GROUP (HOLDINGS) LTD	5CR:CATALIST
ASIATRAVEL.COM HOLDINGS LTD	5AM:CATALIST
ASJ HOLDINGS LTD	538:SGX
ASL MARINE HOLDINGS LTD	A04:SGX
A-SONIC AEROSPACE LIMITED	A53:SGX
ASPIAL CORPORATION LIMITED	A30:SGX
ASTI HOLDINGS LIMITED	575:SGX
ATLANTIC NAVIGATION HLDG(S)LTD	5UL:CATALIST
AURIC PACIFIC GROUP LIMITED	A23:SGX
AUSGROUP LIMITED	5GJ:SGX
AVIC INTL MARITIME HLDGLIMITED	O2I:SGX
AVI-TECH ELECTRONICS LIMITED	CT1:SGX
AZEUS SYSTEMS HOLDINGS LTD.	A69:SGX
AZTECH GROUP LTD.	560:SGX
BAKER TECHNOLOGY LIMITED	568:SGX
BAN LEONG TECHNOLOGIES LIMITED	B26:SGX
BANYAN TREE HOLDINGS LIMITED	B58:SGX
BBR HOLDINGS (S) LTD	KJ5:SGX
BENG KUANG MARINE LIMITED	5MC:SGX
BEST WORLD INTERNATIONAL LTD	5ER:SGX
BH GLOBAL CORPORATION LIMITED	B32:SGX
"BIOSENSORS INT'L GROUP, LTD."	B20:SGX
BLUMONT GROUP LTD.	A33:SGX
