Full Name	Stock Code
3CNERGY LIMITED	502:CATALIST
800 SUPER HOLDINGS LIMITED	5TG:CATALIST
8TELECOM INTL HOLDINGS CO LTD	E25:SGX
AA GROUP HOLDINGS LTD.	5GZ:CATALIST
AAT CORPORATION LIMITED	TF7:SGX
ABR HOLDINGS LIMITED	533:SGX
ABTERRA LTD	L5I:SGX
ACE ACHIEVE INFOCOM LIMITED	A75:SGX
ACHIEVA LIMITED	A02:SGX
ACMA LTD.	A01:SGX
ACTION ASIA LIMITED	A59:SGX
ADDVALUE TECHNOLOGIES LTD	A31:SGX
ADV INTEGRATED MFG CORP LTD	A54:SGX
ADVANCE SCT LIMITED	5FH:SGX
ADVANCED HOLDINGS LTD.	5IA:SGX
ADVANCED SYSTEMS AUTOMATION	5TY:CATALIST
ADVENTUS HOLDINGS LIMITED	5EF:CATALIST
AEI CORPORATION LTD	A18:SGX
AEM HOLDINGS LTD	A10:SGX
AIMS AMP CAP INDUSTRIAL REIT	O5RU:SGX
AIMS PROPERTY SECURITIES FUND	A0P:SGX
ALBEDO LIMITED	5IB:CATALIST
ALLIED TECHNOLOGIES LIMITED	A13:SGX
