Date	cusip	sedol	compustat_id	ROE	CFROIC	LTDE	CapAcqRatio	ShareChg	CashCycle	NetProfitMargin	WCAccruals	BP	PM12M1M	PM1M	LogMktCap	AnnVol12M	AnnVol1M	HL1M	LogTTMSales	FCFP	EBITDAEV	EP	AstAdjChg1YFCF	AstAdjChg1YOCF	Chg1YAstTo	Chg1YEPS	PM9M	Beta60M	SusGrwRate	90DCV	DivP	SEV	AccrualRatioCF	PM5D	NIStab	LTGC	EstDiffC	SUEC	EPSNumRevFY1C	PM-style	HG-style	CE-style	Val-style	EQ-style	Sz-style	Vol-style	AE-style
2014-03-11		6175203	01574301W	2	5	4	5	4	5	1	2	4	2	3	5	5	5	1	5	5		2	4	4	4	3	3	3	3	5	3	4		2	2	4	4	2	4	1	4	5	4	2	5	5	3
2014-03-11		6489937	20331101W	5	5	1	5	5	5	5	5	2	5	1	3	1	2	1	1	5	5	5	5	5	5	5	5	1		1		4		3						3	5	5	5	5	2	1	
2014-03-11		6138701	20082201W										3	3		5	5										3			5				3						3						5	
2014-03-11		B02PY22	20809501W	2	1	4	2	3	1	1	2	5	2	4	5	5	5	4	5	2	3	3	3	3	3	3	3	4	4	4	2	4	3	4	4	4	4	5	4	4	4	2	4	2	5	5	5
2014-03-11		6648868	25792101W	2	3	1	4	4	2	2	2	1	4	5	2	2	1	4	3	5	1	1	4	1	3		2	2		2		1	5	4	3					5	3	2	1	2	2	1	
2014-03-11		B01RK98	27098701W	4	4		4	1	1	3	3	3	3	5	2	3	3	3	2	3	1	3	2	3	5	3	3	2		4	1	1	2	2	3					3	3	4	2	2	2	3	
2014-03-11		B02QFZ5	27099301W	5	2	4	2	4	3	5	4	1	5	1	1	2	1	3	2	1	2	5	2	2	3		5	3		2		2	1	1	5					2	2	4	2	4	1	2	
2014-03-11		B02SP17	27100201W	5	4	1	3	5	3	4	3	1	5	1	1	2	2		2	3	5	5	2	2	4	5	4	3		2		1		3						4	3	4	3	5	1	2	
2014-03-11		B1PB3K5	28247101W	5	3		3	2	2	5	1	3	1	1	2	1	3	1	2	3	1	4	1	1	1	5	1	1		1		5	1	4	5					1	1	4	3	2	2	1	
2014-03-11		B1QH443	28262501W	1	2	4	1	4	3	2	3	3	2	3	4	4	4	4	4	1	2	1	3	3	1	1	4	2	1	5	1	2	4	3	2					3	1	2	1	2	4	4	
2014-03-11		6345556	24583601W	5	5	2	5	5	2	5	4	5	2	4	2	3	3	2	3	4	5	5	4	5	2		2	4		4		2	2	2	5					1	4	5	5	4	3	4	
